mssv,namsinh,gioitinh,namnhaphoc,hieusotuoi,khoahoc,lopsh,hedt,dien_tt,loaitruong,khuvuc,diachi_tinhtp,xeploai_diemtt,avxl,diem_tt,diemchuan_dgnl,dtbhk1,dtbhk2,dtbhk3,dtbhk4,dtbhk5,dtbhk6,dtbhk7,dtbhk8,dtbhk9,dtbhk10,dtbhk11,dtbhk12,xeploai_hk1,xeploai_hk2,xeploai_hk3,xeploai_hk4,xeploai_hk5,xeploai_hk6,xeploai_hk7,xeploai_hk8,xeploai_hk9,xeploai_hk10,xeploai_hk11,xeploai_hk12
62B0EC0EXPvAibaEXe9npw4GElGYwWGhw9tYHYvT,1997.0,1.0,2015.0,0.0,10.0,MMTT2015,CQUI,0,THPT,Khu vực 2 NT, Xã Vĩnh Thạnh,2,ENG04,24.0,,8.57,7.27,8.16,7.56,7.77,7.77,8.56,8.25,,,,,Giỏi,Khá,Giỏi,Khá,Khá,Khá,Giỏi,Giỏi,,,,
EAE06A5DXPvAibaEXe9npw4GElGYwT19PZ/fuxfj,1997.0,1.0,2015.0,0.0,10.0,KTPM0001,CLC,0,THPT,Khu vực 2 NT, Huyện Thăng Bình,3,ENG04,22.5,,8.69,6.81,7.58,7.71,7.33,6.74,6.91,7.19,,,,,Giỏi,Trung bình khá,Khá,Khá,Khá,Trung bình khá,Trung bình khá,Khá,,,,
E8EF5FECXPvAibaEXe9npw4GElGYwc8Qu4fCRzoz,1997.0,1.0,2015.0,0.0,10.0,KTMT0001,CLC,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG04,22.5,,7.4,5.82,8.26,7.09,7.81,6.73,7.96,5.99,,,,,Khá,Trung bình,Giỏi,Khá,Khá,Trung bình khá,Khá,Trung bình,,,,
A104C227XPvAibaEXe9npw4GElGYwTghKPAaKlEb,1997.0,1.0,2015.0,0.0,10.0,KTPM2015,CQUI,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,2,ENG04,24.25,,9.32,7.05,8.46,8.19,7.89,5.97,7.44,8.97,,,,,Xuất sắc,Khá,Giỏi,Giỏi,Khá,Trung bình,Khá,Giỏi,,,,
3ADE0AA4XPvAibaEXe9npw4GElGYweb+gAXdQS/j,1996.0,1.0,2015.0,-1.0,10.0,MMTT0001,CQUI,0,THPT,Khu vực 2, Tỉnh Bình Phước,3,ENG04,23.5,,6.32,4.79,5.59,5.52,5.31,6.77,7.6,7.58,,,,,Trung bình khá,Yếu,Trung bình,Trung bình,Trung bình,Trung bình khá,Khá,Khá,,,,
AA47DEB6XPvAibaEXe9npw4GElGYwUDzS3jhtPPI,1997.0,1.0,2015.0,0.0,10.0,MMTT0001,CQUI,0,THPT,Khu vực 2 NT, Huyện Càng Long,3,ENG04,23.75,,9.51,6.88,8.64,6.84,7.68,8.57,8.3,7.63,,,,,Xuất sắc,Trung bình khá,Giỏi,Trung bình khá,Khá,Giỏi,Giỏi,Khá,,,,
884D5B04XPvAibaEXe9npw4GElGYwTu6ctKDKyz4,1997.0,1.0,2015.0,0.0,10.0,KTPM0001,CQUI,0,THPT,Khu vực 2, Tỉnh Đồng Nai,2,ENG04,24.5,,7.94,7.84,7.18,7.99,6.78,6.84,7.52,8.87,,,,,Khá,Khá,Khá,Khá,Trung bình khá,Trung bình khá,Khá,Giỏi,,,,
C0CCE21CXPvAibaEXe9YYF5FMCfolNfE1eZp+SZc,1997.0,1.0,2015.0,0.0,10.0,CNTT0001,CQUI,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG04,23.5,,7.84,6.43,7.88,7.69,7.74,7.91,7.68,7.09,,,,,Khá,Trung bình khá,Khá,Khá,Khá,Khá,Khá,Khá,,,,
655A2AB2XPvAibaEXe9YYF5FMCfolLFQGyCOSOO4,1997.0,1.0,2015.0,0.0,10.0,MMTT0001,CQUI,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG04,22.75,,6.29,4.43,8.02,7.53,7.73,6.94,7.99,7.66,,,,,Trung bình khá,Yếu,Giỏi,Khá,Khá,Trung bình khá,Khá,Khá,,,,
11F87175XPvAibaEXe9YYF5FMCfolFVNdfbyCkAV,1997.0,1.0,2015.0,0.0,10.0,CNTT0001,CQUI,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG04,23.25,,6.61,5.2,6.2,5.11,3.78,5.16,3.96,6.21,7.12,7.01,,,Trung bình khá,Trung bình,Trung bình khá,Trung bình,Kém,Trung bình,Kém,Trung bình khá,Khá,Khá,,
ECE76E0DXPvAibaEXe9YYF5FMCfolAEgvqGQYBtN,1997.0,1.0,2015.0,0.0,10.0,MMTT0001,CQUI,0,THPT,Khu vực 2, Tỉnh Quảng Ngãi,3,ENG04,22.75,,6.84,5.7,7.3,7.01,6.84,7.06,7.97,8.13,,,,,Trung bình khá,Trung bình,Khá,Khá,Trung bình khá,Khá,Khá,Giỏi,,,,
7C453D70XPvAibaEXe9YYF5FMCfolBlDzwTGByOI,1997.0,1.0,2015.0,0.0,10.0,PMCL2015.2,CLC,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG04,22.25,,6.86,5.3,3.75,4.99,,,,,,,,,Trung bình khá,Trung bình,Kém,Yếu,,,,,,,,
CAE4F801XPvAibaEXe9YYF5FMCfolLflNZNty3Ei,1997.0,1.0,2015.0,0.0,10.0,HTTT2015,CQUI,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG04,22.75,,8.59,7.38,8.1,8.17,7.3,8.13,7.83,7.44,,,,,Giỏi,Khá,Giỏi,Giỏi,Khá,Giỏi,Khá,Khá,,,,
C5A79D5FXPvAibaEXe9YYF5FMCfolGMm+vKairXW,1997.0,0.0,2015.0,0.0,10.0,MTCL2015.2,CLC,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,4,ENG03,20.5,,8.95,6.24,,,,,,,,,,,Giỏi,Trung bình khá,,,,,,,,,,
FE23AE9BXPvAibaEXe9YYF5FMCfolEF8gLFZSRtc,1997.0,1.0,2015.0,0.0,10.0,HTTT0001,CQUI,0,THPT,Khu vực 3, Quận 5,3,ENG04,22.25,,7.55,6.99,7.55,7.93,8.58,7.31,,,,,,,Khá,Trung bình khá,Khá,Khá,Giỏi,Khá,,,,,,
0DB54EF3XPvAibaEXe9YYF5FMCfolFEcE74CV9kF,1997.0,1.0,2015.0,0.0,10.0,PMCL2015.2,CLC,0,THPT,Khu vực 2, Tỉnh Đồng Nai,3,ENG05,23.0,,7.28,5.12,3.52,0.53,0.0,2.26,,,,,,,Khá,Trung bình,Kém,Kém,Kém,Kém,,,,,,
95D5E290XPvAibaEXe9YYF5FMCfolGAWKjQ6W2Dh,1997.0,1.0,2015.0,0.0,10.0,HTTT0001,CLC,0,THPT,Khu vực 2 NT, Huyện Vĩnh Cửu,4,ENG04,21.75,,7.68,6.63,6.92,6.95,6.76,7.29,8.15,6.57,,,,,Khá,Trung bình khá,Trung bình khá,Trung bình khá,Trung bình khá,Khá,Giỏi,Trung bình khá,,,,
CF9218D7XPvAibaEXe/wM5TrBBCDMTQME4JTS7hQ,1997.0,1.0,2015.0,0.0,10.0,MMTT0001,CQUI,0,THPT,Khu vực 2, Tỉnh Vĩnh Long,3,ENG04,22.5,,7.68,5.58,7.31,6.99,7.34,7.83,7.25,8.26,,,,,Khá,Trung bình,Khá,Trung bình khá,Khá,Khá,Khá,Giỏi,,,,
A05C5E3CXPvAibaEXe/wM5TrBBCDMYe151bx04mg,1997.0,1.0,2015.0,0.0,10.0,CNTT0001,CQUI,0,THPT,Khu vực 2 NT, Thị xã Tân Châu,3,ENG04,23.25,,8.35,7.62,8.3,8.04,8.47,8.35,8.39,9.4,,,,,Giỏi,Khá,Giỏi,Giỏi,Giỏi,Giỏi,Giỏi,Xuất sắc,,,,
77FBCDC3XPvAibaEXe/wM5TrBBCDMQ8wnHvW/pHr,1997.0,1.0,2015.0,0.0,10.0,KTMT0001,CLC,0,THPT,Khu vực 2, Tỉnh Đồng Tháp,4,ENG04,20.5,,6.21,5.31,6.67,5.12,5.97,5.1,5.04,4.91,6.44,3.69,,,Trung bình khá,Trung bình,Trung bình khá,Trung bình,Trung bình,Trung bình,Trung bình,Yếu,Trung bình khá,Kém,,
1D3C3D71XPvAibaEXe/wM5TrBBCDMSL/iRYjSO35,1997.0,1.0,2015.0,0.0,10.0,KHMT2015,CQUI,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG04,23.25,,7.61,5.85,7.36,7.51,8.11,7.6,7.18,7.19,,,,,Khá,Trung bình,Khá,Khá,Giỏi,Khá,Khá,Khá,,,,
3EA38C20XPvAibaEXe/wM5TrBBCDMRSxGEkC9sQw,1997.0,1.0,2015.0,0.0,10.0,KTPM0001,CLC,0,THPT,Khu vực 2, Tỉnh Bến Tre,3,ENG04,22.0,,7.27,6.69,6.53,4.94,6.36,6.3,6.55,3.2,6.24,0.0,2.0,0.0,Khá,Trung bình khá,Trung bình khá,Yếu,Trung bình khá,Trung bình khá,Trung bình khá,Kém,Trung bình khá,Kém,Kém,Kém
E90E1277XPvAibaEXe/wM5TrBBCDMYjuhhJRnFGL,1997.0,1.0,2015.0,0.0,10.0,MMTT0001,CQUI,0,THPT,Khu vực 2 NT, Huyện Chợ Gạo,3,ENG04,23.25,,6.87,5.75,6.33,6.34,5.23,6.5,6.74,5.5,,,,,Trung bình khá,Trung bình,Trung bình khá,Trung bình khá,Trung bình,Trung bình khá,Trung bình khá,Trung bình,,,,
CBA229A4XPvAibaEXe/wM5TrBBCDMQV3vJjvzyoo,1995.0,1.0,2015.0,-2.0,10.0,MMTT2015,CQUI,0,THPT,Khu vực 2 NT, Xã Tân Khai,2,ENG04,24.0,,4.48,2.96,6.65,2.46,1.0,1.73,0.76,0.0,,,,,Yếu,Kém,Trung bình khá,Kém,Kém,Kém,Kém,Kém,,,,
825FA3F2XPvAibaEXe/wM5TrBBCDMW1yuePWOjX3,1995.0,1.0,2015.0,-2.0,10.0,TMĐT2015,CQUI,0,THPT,Khu vực 2, Tỉnh Đắk Lắk,3,ENGBT,22.25,,3.85,3.62,4.92,4.63,2.33,2.39,,,,,,,Kém,Kém,Yếu,Yếu,Kém,Kém,,,,,,
3C890973XPvAibaEXe/wM5TrBBCDMZctOeF4oeIf,1997.0,1.0,2015.0,0.0,10.0,KTPM0001,CQUI,0,THPT,Khu vực 2, Tỉnh Quảng Ngãi,2,ENG04,24.5,,8.71,7.16,7.37,8.1,7.35,7.37,7.53,8.71,,,,,Giỏi,Khá,Khá,Giỏi,Khá,Khá,Khá,Giỏi,,,,
C7A72C9CXPvAibaEXe/F8UIBT+N0T7KDgez+bYgy,1997.0,1.0,2015.0,0.0,10.0,HTTT0001,CQUI,0,THPT,Khu vực 2, Tỉnh Hà Tĩnh,3,ENG04,22.25,,7.41,3.58,6.24,5.1,5.47,4.51,7.35,1.84,,,,,Khá,Kém,Trung bình khá,Trung bình,Trung bình,Yếu,Khá,Kém,,,,
5C8D7B17XPvAibaEXe/F8UIBT+N0T41UMitSN5Ce,1997.0,1.0,2015.0,0.0,10.0,HTTT0001,CQUI,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG04,23.25,,7.25,5.87,6.12,7.35,7.24,7.31,6.32,7.04,,,,,Khá,Trung bình,Trung bình khá,Khá,Khá,Khá,Trung bình khá,Khá,,,,
475B6160XPvAibaEXe/F8UIBT+N0T7ynllTWSz+k,1997.0,1.0,2015.0,0.0,10.0,KTPM0001,CLC,0,THPT,Khu vực 2 NT, Xã Dưỡng Điềm,1,ENG04,26.75,,9.16,8.88,9.03,9.07,8.29,8.13,8.0,7.89,,,,,Xuất sắc,Giỏi,Xuất sắc,Xuất sắc,Giỏi,Giỏi,Giỏi,Khá,,,,
4D56F049XPvAibaEXe/F8UIBT+N0T4jmmD/vDt9A,1997.0,1.0,2015.0,0.0,10.0,KTPM2015,CQUI,0,THPT,Khu vực 2, Tỉnh Quảng Nam,2,ENG04,24.5,,7.18,5.18,5.83,4.3,1.73,1.39,1.59,0.0,,,,,Khá,Trung bình,Trung bình,Yếu,Kém,Kém,Kém,Kém,,,,
737325ADXPvAibaEXe/F8UIBT+N0T7zT5670DhFt,1997.0,1.0,2015.0,0.0,10.0,MMTT0001,CQUI,0,THPT,Khu vực 2 NT, Huyện Châu Đức,3,ENG04,23.5,,5.21,3.63,3.87,3.53,4.6,3.43,4.13,1.63,6.67,0.0,,,Trung bình,Kém,Kém,Kém,Yếu,Kém,Yếu,Kém,Trung bình khá,Kém,,
3E12C857XPvAibaEXe/F8UIBT+N0T1fij5IWKR2Z,1997.0,0.0,2015.0,0.0,10.0,MMTT0001,CQUI,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG04,23.25,,6.88,5.7,6.07,5.81,6.41,5.9,4.94,7.92,5.14,6.65,5.96,8.1,Trung bình khá,Trung bình,Trung bình khá,Trung bình,Trung bình khá,Trung bình,Yếu,Khá,Trung bình,Trung bình khá,Trung bình,Giỏi
1653E1ADXPvAibaEXe/F8UIBT+N0T1dgm122Jx54,1996.0,0.0,2015.0,-1.0,10.0,KTPM0001,CQUI,0,THPT,Khu vực 3, Thành phố Đà Nẵng,2,ENG04,24.25,,8.09,7.52,7.33,7.24,6.77,7.85,7.78,8.19,,,,,Giỏi,Khá,Khá,Khá,Trung bình khá,Khá,Khá,Giỏi,,,,
BDA2EB38XPvAibaEXe/F8UIBT+N0TzBmtk+02ZmL,1997.0,1.0,2015.0,0.0,10.0,PMCL2015.2,CLC,0,THPT,Khu vực 2, Tỉnh Long An,3,ENG04,22.5,,6.39,3.64,,,,,,,,,,,Trung bình khá,Kém,,,,,,,,,,
DE7C4BC2XPvAibaEXe/F8UIBT+N0TyZ0IEXN/ct2,1997.0,1.0,2015.0,0.0,10.0,MMTT0001,CQUI,0,THPT,Khu vực 2, Thành phố Bạc Liêu,3,ENG04,23.75,,7.51,6.32,8.3,7.84,6.58,7.69,8.09,7.64,,,,,Khá,Trung bình khá,Giỏi,Khá,Trung bình khá,Khá,Giỏi,Khá,,,,
85573622XPvAibaEXe/F8UIBT+N0T6mWVF6dx9aU,1996.0,1.0,2015.0,-1.0,10.0,KHMT0001,CNTN,0,THPT,Khu vực 2 NT, Thị xã Dĩ An,3,ENG04,23.5,,9.11,7.37,7.6,7.09,7.78,7.42,7.64,9.0,,,,,Xuất sắc,Khá,Khá,Khá,Khá,Khá,Khá,Xuất sắc,,,,
B2F218B4XPvAibaEXe9NdAclo3+sV2jZYRE1jmLJ,1997.0,1.0,2015.0,0.0,10.0,MMTT2015,CQUI,0,THPT,Khu vực 1, Lộc Thái,3,ENG04,23.25,,3.14,0.19,,,,,,,,,,,Kém,Kém,,,,,,,,,,
BFF3B7E5XPvAibaEXe9NdAclo3+sV5sM1Sgytds9,1997.0,1.0,2015.0,0.0,10.0,MMTT0001,CQUI,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG04,23.25,,7.84,7.1,7.63,6.85,7.24,8.11,8.29,8.2,,,,,Khá,Khá,Khá,Trung bình khá,Khá,Giỏi,Giỏi,Giỏi,,,,
D71709ADXPvAibaEXe9NdAclo3+sV7/dStJ9kNR5,1997.0,1.0,2015.0,0.0,10.0,CNTT0001,CQUI,0,THPT,Khu vực 2 NT, Huyện Cái Bè,3,ENG04,23.5,,6.78,2.99,7.78,6.63,7.21,7.07,7.34,5.3,5.48,4.29,4.01,1.07,Trung bình khá,Kém,Khá,Trung bình khá,Khá,Khá,Khá,Trung bình,Trung bình,Yếu,Yếu,Kém
234C7014XPvAibaEXe9NdAclo3+sV0htCLmkWoZg,1997.0,1.0,2015.0,0.0,10.0,KTMT0001,CQUI,0,THPT,Khu vực 2, Tỉnh Tiền Giang,3,ENG04,23.75,,7.0,6.81,7.89,6.29,7.13,7.65,6.76,7.91,,,,,Khá,Trung bình khá,Khá,Trung bình khá,Khá,Khá,Trung bình khá,Khá,,,,
A24618FBXPvAibaEXe9NdAclo3+sVw815C7AJNyk,1997.0,1.0,2015.0,0.0,10.0,KTMT0001,CQUI,0,THPT,Khu vực 2, Tỉnh Lâm Đồng,3,ENG04,23.75,,8.92,7.11,8.43,7.73,7.87,8.32,8.51,8.18,,,,,Giỏi,Khá,Giỏi,Khá,Khá,Giỏi,Giỏi,Giỏi,,,,
208ADD5FXPvAibaEXe9NdAclo3+sVwwHZkFbapYw,1997.0,1.0,2015.0,0.0,10.0,KHMT0001,CQUI,0,THPT,Khu vực 2, Tỉnh Đồng Nai,3,ENG04,23.25,,7.49,5.96,6.64,7.52,7.58,8.46,8.1,7.55,,,,,Khá,Trung bình,Trung bình khá,Khá,Khá,Giỏi,Giỏi,Khá,,,,
72EE8BD7XPvAibaEXe9NdAclo3+sV7oJhBuVqVwR,1997.0,1.0,2015.0,0.0,10.0,CNTT2015,CQUI,0,THPT,Khu vực 2, Tỉnh Kon Tum,3,ENG04,23.75,,8.66,8.27,7.61,7.62,8.4,8.4,8.06,7.9,,,,,Giỏi,Giỏi,Khá,Khá,Giỏi,Giỏi,Giỏi,Khá,,,,
D64A4B43XPvAibaEXe9NdAclo3+sV1XlzngwkaHY,1997.0,1.0,2015.0,0.0,10.0,HTCL2015,CLC,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,4,ENG05,21.0,,6.13,0.0,,,,,,,,,,,Trung bình khá,Kém,,,,,,,,,,
740A2C5AXPvAibaEXe9NdAclo3+sVy/niSBfKxtQ,1997.0,1.0,2015.0,0.0,10.0,KTMT0001,CLC,0,THPT,Khu vực 2, Tỉnh Bình Định,4,ENG04,20.5,,7.43,3.72,6.6,6.04,5.94,4.11,5.27,2.59,4.15,4.93,,,Khá,Kém,Trung bình khá,Trung bình khá,Trung bình,Yếu,Trung bình,Kém,Yếu,Yếu,,
5B9ABA61XPvAibaEXe+SgbKufUiN7Hulf6cw3ZZ0,1997.0,1.0,2015.0,0.0,10.0,PMCL2015.2,CLC,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG05,22.25,,8.37,7.68,8.35,7.92,7.68,7.7,8.92,8.62,,,,,Giỏi,Khá,Giỏi,Khá,Khá,Khá,Giỏi,Giỏi,,,,
B88E9BBCXPvAibaEXe+SgbKufUiN7LFujBZjidre,1997.0,1.0,2015.0,0.0,10.0,KHMT2015,CQUI,0,THPT,Khu vực 2, Tỉnh Lâm Đồng,3,ENG04,23.0,,7.91,6.32,,,,,,,,,,,Khá,Trung bình khá,,,,,,,,,,
1BE23B7AXPvAibaEXe+SgbKufUiN7ItsrJr3zVjZ,1997.0,1.0,2015.0,0.0,10.0,MMTT0001,CQUI,0,THPT,Khu vực 2, Tỉnh Đắk Lắk,3,ENG04,22.75,,8.31,6.33,7.96,7.35,6.67,8.46,8.59,3.21,,,,,Giỏi,Trung bình khá,Khá,Khá,Trung bình khá,Giỏi,Giỏi,Kém,,,,
EE84609CXPvAibaEXe+SgbKufUiN7G6cFGP9m7xj,1997.0,1.0,2015.0,0.0,10.0,CTTT2015,CTTT,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG05,22.0,,8.21,7.03,7.78,7.76,8.36,8.35,8.43,8.5,,,,,Giỏi,Khá,Khá,Khá,Giỏi,Giỏi,Giỏi,Giỏi,,,,
47032754XPvAibaEXe+SgbKufUiN7Iy/aLAjGyiI,1995.0,1.0,2015.0,-2.0,10.0,ATTN2015,KSTN,0,THPT,Khu vực 2, Tỉnh Phú Yên,2,ENG04,25.75,,8.97,9.16,8.02,8.73,8.11,9.16,8.14,8.2,,,,,Giỏi,Xuất sắc,Giỏi,Giỏi,Giỏi,Xuất sắc,Giỏi,Giỏi,,,,
6C3DD2A9XPvAibaEXe+SgbKufUiN7KqoRjLZ+gzW,1997.0,1.0,2015.0,0.0,10.0,HTCL2015,CLC,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,4,ENG04,21.0,,7.28,1.09,,,,,,,,,,,Khá,Kém,,,,,,,,,,
95921B9CXPvAibaEXe+SgbKufUiN7O+peCBJlP5n,1997.0,1.0,2015.0,0.0,10.0,CNTT2015,CQUI,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG04,22.75,,6.48,0.82,,,,,,,,,,,Trung bình khá,Kém,,,,,,,,,,
6737E007XPvAibaEXe+SgbKufUiN7Cgz+ZmGhWIf,1997.0,1.0,2015.0,0.0,10.0,KTPM0001,CQUI,0,THPT,Khu vực 2 NT, Thị xã Ba Đồn,2,ENG04,24.25,,7.08,5.69,7.18,5.34,6.29,6.06,5.93,7.51,7.47,7.53,,,Khá,Trung bình,Khá,Trung bình,Trung bình khá,Trung bình khá,Trung bình,Khá,Khá,Khá,,
848AB351XPvAibaEXe+SgbKufUiN7OKpFsodMp2m,1997.0,1.0,2015.0,0.0,10.0,MMTT0001,CQUI,0,THPT,Khu vực 2 NT, Huyện Đức Hòa,3,ENG04,23.5,,6.54,5.06,5.01,4.34,5.39,3.46,4.08,4.59,2.64,3.99,3.71,0.75,Trung bình khá,Trung bình,Trung bình,Yếu,Trung bình,Kém,Yếu,Yếu,Kém,Kém,Kém,Kém
FDC34A26XPvAibaEXe+SgbKufUiN7Lb6/LE67Qhn,1997.0,1.0,2015.0,0.0,10.0,KTPM2015,CQUI,0,THPT,Khu vực 2 NT, Xã Trúc Sơn,2,ENG04,24.75,,8.61,6.62,7.42,7.15,6.91,4.69,1.93,0.23,,,,,Giỏi,Trung bình khá,Khá,Khá,Trung bình khá,Yếu,Kém,Kém,,,,
CAC4286EXPvAibaEXe8a4mdANazFZCAmkjVkkNUv,1997.0,1.0,2015.0,0.0,10.0,KTPM0001,CQUI,0,THPT,Khu vực 2, Tỉnh Gia Lai,2,ENG04,24.25,,8.09,6.75,6.58,6.99,5.84,6.35,7.61,6.78,,,,,Giỏi,Trung bình khá,Trung bình khá,Trung bình khá,Trung bình,Trung bình khá,Khá,Trung bình khá,,,,
E9AA9B55XPvAibaEXe8a4mdANazFZESxlFqogJtT,1997.0,1.0,2015.0,0.0,10.0,MMTT0001,CQUI,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG04,22.75,,9.23,6.89,7.59,7.12,7.38,7.65,8.11,7.39,,,,,Xuất sắc,Trung bình khá,Khá,Khá,Khá,Khá,Giỏi,Khá,,,,
C9B9CF54XPvAibaEXe8a4mdANazFZEOfhv1TIlec,1997.0,1.0,2015.0,0.0,10.0,HTTT2015,CQUI,0,THPT,Khu vực 2, Tỉnh Long An,3,ENGBT,22.75,,2.86,0.24,,,,,,,,,,,Kém,Kém,,,,,,,,,,
CEC0B89BXPvAibaEXe8a4mdANazFZO0OM6/pN5Wb,1997.0,1.0,2015.0,0.0,10.0,KTPM0001,CLC,0,THPT,Khu vực 2 NT, Huyện Củ Chi,3,ENG04,23.25,,9.44,9.4,8.91,8.8,7.81,8.69,9.01,8.38,,,,,Xuất sắc,Xuất sắc,Giỏi,Giỏi,Khá,Giỏi,Xuất sắc,Giỏi,,,,
FF3345F2XPvAibaEXe8a4mdANazFZNo5QcB67koq,1997.0,1.0,2015.0,0.0,10.0,CNTT2015,CQUI,0,THPT,Khu vực 2 NT, Huyện Thanh Bình,3,ENG04,23.75,,9.38,8.66,7.87,7.98,8.1,8.43,8.83,8.3,,,,,Xuất sắc,Giỏi,Khá,Khá,Giỏi,Giỏi,Giỏi,Giỏi,,,,
282249E0XPvAibaEXe8a4mdANazFZKlE4QIAu/Rh,1996.0,1.0,2015.0,-1.0,10.0,KTMT2015,CQUI,0,THPT,Khu vực 2, Tỉnh Đồng Nai,3,ENG04,23.75,,5.84,0.0,,,,,,,,,,,Trung bình,Kém,,,,,,,,,,
EE25A9E6XPvAibaEXe8a4mdANazFZDH5DQK1A90v,1997.0,1.0,2015.0,0.0,10.0,KTPM0001,CQUI,0,THPT,Khu vực 3, Thành phố Đà Nẵng,2,ENG04,24.25,,8.26,5.27,7.14,4.45,,,6.08,4.21,0.07,0.0,,,Giỏi,Trung bình,Khá,Yếu,,,Trung bình khá,Yếu,Kém,Kém,,
4D0C2B6AXPvAibaEXe8a4mdANazFZPNAcRA65g/i,1997.0,1.0,2015.0,0.0,10.0,HTTT0001,CTTT,0,THPT,Khu vực 2, Tỉnh Gia Lai,2,ENG05,25.25,,8.8,7.73,8.86,8.86,9.16,8.72,9.13,8.21,,,,,Giỏi,Khá,Giỏi,Giỏi,Xuất sắc,Giỏi,Xuất sắc,Giỏi,,,,
B2F1F3CEXPvAibaEXe8a4mdANazFZH7X437gU+Fq,1997.0,1.0,2015.0,0.0,10.0,KTPM0001,CLC,0,THPT,Khu vực 2, Tỉnh Ninh Bình,3,ENG04,23.0,,8.47,6.86,7.02,7.41,4.36,6.93,5.1,4.88,1.18,5.33,5.55,8.0,Giỏi,Trung bình khá,Khá,Khá,Yếu,Trung bình khá,Trung bình,Yếu,Kém,Trung bình,Trung bình,Giỏi
58CD106CXPvAibaEXe8a4mdANazFZIdkqYW4/KKO,1997.0,1.0,2015.0,0.0,10.0,MMTT0001,CQUI,0,THPT,Khu vực 2, Tỉnh Đồng Tháp,3,ENG04,22.5,,7.03,5.91,6.33,7.55,7.96,7.28,8.1,7.81,,,,,Khá,Trung bình,Trung bình khá,Khá,Khá,Khá,Giỏi,Khá,,,,
FB14B999XPvAibaEXe9iOtseai5jcsLjwFUKwwuo,1997.0,1.0,2015.0,0.0,10.0,MMTT0001,CQUI,0,THPT,Khu vực 2, Thành phố Vĩnh Long,2,ENG04,24.0,,8.33,8.26,8.25,7.29,7.61,8.08,8.18,8.26,,,,,Giỏi,Giỏi,Giỏi,Khá,Khá,Giỏi,Giỏi,Giỏi,,,,
FC927255XPvAibaEXe9iOtseai5jcudBZ3L3DRRv,1997.0,1.0,2015.0,0.0,10.0,KHMT2015,CQUI,0,THPT,Khu vực 2, Tỉnh Đồng Nai,3,ENG04,23.75,,7.92,6.06,6.7,6.7,6.66,7.43,7.52,7.38,,,,,Khá,Trung bình khá,Trung bình khá,Trung bình khá,Trung bình khá,Khá,Khá,Khá,,,,
23DD1839XPvAibaEXe9iOtseai5jcmBAIv3PUbht,1997.0,1.0,2015.0,0.0,10.0,HTTT2015,CQUI,0,THPT,Khu vực 2 NT, Huyện Thăng Bình,3,ENG04,23.5,,7.95,8.29,7.95,8.2,7.66,8.0,8.22,8.93,,,,,Khá,Giỏi,Khá,Giỏi,Khá,Giỏi,Giỏi,Giỏi,,,,
6439796AXPvAibaEXe9iOtseai5jcgPJk1yiNrdj,1997.0,1.0,2015.0,0.0,10.0,KTPM0001,CQUI,0,THPT,Khu vực 2, Tỉnh Thừa Thiên Huế,2,ENG04,24.25,,8.49,7.93,7.91,7.46,6.59,6.61,7.79,8.34,,,,,Giỏi,Khá,Khá,Khá,Trung bình khá,Trung bình khá,Khá,Giỏi,,,,
41DD3B86XPvAibaEXe9iOtseai5jcto6yYpohLib,1997.0,1.0,2015.0,0.0,10.0,ATTN2015,KSTN,0,THPT,Khu vực 3, khu phố Tam Đa,2,ENG04,25.5,,9.01,8.62,8.86,8.05,8.39,9.1,8.7,8.3,,,,,Xuất sắc,Giỏi,Giỏi,Giỏi,Giỏi,Xuất sắc,Giỏi,Giỏi,,,,
51DB5841XPvAibaEXe9iOtseai5jco9ByqYk3QRN,1997.0,1.0,2015.0,0.0,10.0,KHMT2015,CQUI,0,THPT,Khu vực 2, Tỉnh An Giang,2,ENG04,25.25,,8.83,7.38,7.83,7.74,,,,,,,,,Giỏi,Khá,Khá,Khá,,,,,,,,
